
============================================================
RUNNING EXPERIMENT: CASE = single_inclusion | NOISE = 0pct
Data: /home/akalout/One_network_SI/data_single_inclusion_R3_BC_wavelets_orig/dtn_data_single_inclusion.npz
============================================================

grid size: 64
number of BC functions (K): 140
boundary coords shape: (252, 2)
Boundary points = 252 -> implies grid_N=64 (since 4N-4=252). Dense solve OK.
Selected linear solver: dense (pref=auto)
Using device: cuda
Saving to: /home/akalout/One_network_SI/data_single_inclusion_R3_BC_wavelets_orig/train_runs_DtN_new
Max |boundary_coords(data) - boundary_coords(solver)| = 5.960e-08
✅ Boundary ordering already matches solver.

[rep 1/30] sanity training for 50 epochs
[dense] interior unknowns=3844, dense A ~ 56.4 MB (float32)
Training 50 epochs | batch_k=4 | solver=dense
Epoch 10/50 | loss=1.382e-01 | data=1.382e-01 | reg=0.000e+00
Epoch 20/50 | loss=2.164e-02 | data=2.164e-02 | reg=0.000e+00
Epoch 30/50 | loss=4.170e-03 | data=4.170e-03 | reg=0.000e+00
Epoch 40/50 | loss=6.931e-03 | data=6.931e-03 | reg=0.000e+00
Epoch 50/50 | loss=2.622e-03 | data=2.622e-03 | reg=0.000e+00
Done. Time(s): 38.6
Saved: /home/akalout/One_network_SI/data_single_inclusion_R3_BC_wavelets_orig/train_runs_DtN_new/gammaNN_DtN_steps_1750.pth

[rep 2/30] training for 1000 epochs
[dense] interior unknowns=3844, dense A ~ 56.4 MB (float32)
Training 1000 epochs | batch_k=4 | solver=dense
Epoch 10/1000 | loss=2.221e-03 | data=2.221e-03 | reg=0.000e+00
Epoch 20/1000 | loss=3.850e-03 | data=3.850e-03 | reg=0.000e+00
Epoch 30/1000 | loss=1.638e-03 | data=1.638e-03 | reg=0.000e+00
Epoch 40/1000 | loss=1.596e-03 | data=1.596e-03 | reg=0.000e+00
Epoch 50/1000 | loss=1.086e-03 | data=1.086e-03 | reg=0.000e+00
Epoch 60/1000 | loss=7.031e-04 | data=7.031e-04 | reg=0.000e+00
Epoch 70/1000 | loss=8.407e-04 | data=8.407e-04 | reg=0.000e+00
Epoch 80/1000 | loss=4.081e-04 | data=4.081e-04 | reg=0.000e+00
Epoch 90/1000 | loss=1.269e-03 | data=1.269e-03 | reg=0.000e+00
Epoch 100/1000 | loss=6.932e-04 | data=6.932e-04 | reg=0.000e+00
Epoch 110/1000 | loss=3.407e-04 | data=3.407e-04 | reg=0.000e+00
Epoch 120/1000 | loss=3.291e-04 | data=3.291e-04 | reg=0.000e+00
Epoch 130/1000 | loss=1.571e-03 | data=1.571e-03 | reg=0.000e+00
Epoch 140/1000 | loss=2.093e-03 | data=2.093e-03 | reg=0.000e+00
Epoch 150/1000 | loss=3.256e-04 | data=3.256e-04 | reg=0.000e+00
Epoch 160/1000 | loss=1.245e-04 | data=1.245e-04 | reg=0.000e+00
Epoch 170/1000 | loss=4.134e-04 | data=4.134e-04 | reg=0.000e+00
Epoch 180/1000 | loss=1.286e-03 | data=1.286e-03 | reg=0.000e+00
Epoch 190/1000 | loss=1.471e-04 | data=1.471e-04 | reg=0.000e+00
Epoch 200/1000 | loss=2.568e-03 | data=2.568e-03 | reg=0.000e+00
Epoch 210/1000 | loss=3.908e-04 | data=3.908e-04 | reg=0.000e+00
Epoch 220/1000 | loss=1.924e-04 | data=1.924e-04 | reg=0.000e+00
Epoch 230/1000 | loss=3.874e-03 | data=3.874e-03 | reg=0.000e+00
Epoch 240/1000 | loss=2.253e-03 | data=2.253e-03 | reg=0.000e+00
Epoch 250/1000 | loss=1.848e-04 | data=1.848e-04 | reg=0.000e+00
Epoch 260/1000 | loss=1.559e-03 | data=1.559e-03 | reg=0.000e+00
Epoch 270/1000 | loss=6.717e-04 | data=6.717e-04 | reg=0.000e+00
Epoch 280/1000 | loss=3.591e-04 | data=3.591e-04 | reg=0.000e+00
Epoch 290/1000 | loss=7.213e-04 | data=7.213e-04 | reg=0.000e+00
Epoch 300/1000 | loss=8.666e-04 | data=8.666e-04 | reg=0.000e+00
Epoch 310/1000 | loss=1.515e-04 | data=1.515e-04 | reg=0.000e+00
Epoch 320/1000 | loss=5.830e-04 | data=5.830e-04 | reg=0.000e+00
Epoch 330/1000 | loss=9.717e-04 | data=9.717e-04 | reg=0.000e+00
Epoch 340/1000 | loss=2.587e-04 | data=2.587e-04 | reg=0.000e+00
Epoch 350/1000 | loss=1.533e-03 | data=1.533e-03 | reg=0.000e+00
Epoch 360/1000 | loss=1.953e-04 | data=1.953e-04 | reg=0.000e+00
Epoch 370/1000 | loss=9.381e-04 | data=9.381e-04 | reg=0.000e+00
Epoch 380/1000 | loss=6.542e-04 | data=6.542e-04 | reg=0.000e+00
